Time,Source,Destination,Device,Command,Status
,,,,,
29.03 seconds,Host Frame,node 01 ,DEVICE_motor,COMMAND_movrel,--
29.07 seconds,node 01 ,Host Frame,DEVICE_motor,COMMAND_movrel,STATUS_CommandExecuting
,,,,,
33.97 seconds,Host Frame,node 02 ,DEVICE_motor,COMMAND_movrel,--
34.03 seconds,node 02 ,Host Frame,DEVICE_motor,COMMAND_movrel,STATUS_CommandExecuting
,,,,,
37.16 seconds,Host Frame,node 02 ,DEVICE_motor,COMMAND_movrel,--
37.24 seconds,node 02 ,Host Frame,DEVICE_motor,COMMAND_movrel,STATUS_Success
,,,,,
40.94 seconds,Host Frame,node 01 ,DEVICE_motor,COMMAND_movrel,--
41.03 seconds,node 01 ,Host Frame,DEVICE_motor,COMMAND_movrel,STATUS_Success
,,,,,
